Date/Time,Whole Building:Facility Total HVAC Electric Demand Power [W](TimeStep) 
 05/01  05:35:00,3996.563429522809 
 05/01  05:40:00,5495.072420785107 
 05/01  05:45:00,5699.880504345487 
 05/01  05:50:00,5502.687859995658 
 05/01  05:55:00,3996.563429522809 
 05/01  06:00:00,5471.91472380129 
 05/01  06:05:00,5087.675897734163 
 05/01  06:10:00,4402.086746373279 
 05/01  06:15:00,4107.423626656053 
 05/01  06:20:00,4107.423626656053 
 05/01  06:25:00,4107.423626656053 
 05/01  06:30:00,4107.423626656053 
 05/01  06:35:00,4107.423626656053 
 05/01  06:40:00,4107.423626656053 
 05/01  06:45:00,4107.423626656053 
 05/01  06:50:00,4107.423626656053 
 05/01  06:55:00,4107.423626656053 
 05/01  07:00:00,4107.423626656053 
 05/01  07:05:00,4118.718935478509 
 05/01  07:10:00,4118.572488230911 
 05/01  07:15:00,4118.572488230896 
 05/01  07:20:00,4118.572488230917 
 05/01  07:25:00,4118.572488230915 
 05/01  07:30:00,4118.572488230915 
 05/01  07:35:00,4118.572488230915 
 05/01  07:40:00,4118.572488230915 
 05/01  07:45:00,4118.572488230915 
 05/01  07:50:00,4118.572488230915 
 05/01  07:55:00,4118.572488230915 
 05/01  08:00:00,4118.572488230915 
 05/01  08:05:00,4129.840446525442 
 05/01  08:10:00,4129.797848334907 
 05/01  08:15:00,4129.797848334907 
 05/01  08:20:00,5601.646490850592 
 05/01  08:25:00,5640.890625780077 
 05/01  08:30:00,5700.288264482335 
 05/01  08:35:00,5746.792862836036 
 05/01  08:40:00,5780.287024823036 
 05/01  08:45:00,5930.528612125933 
 05/01  08:50:00,5975.594616218799 
 05/01  08:55:00,6034.505699414447 
 05/01  09:00:00,6111.944131067154 
 05/01  09:05:00,6227.325411074902 
 05/01  09:10:00,6255.328853351102 
 05/01  09:15:00,6280.353610105029 
 05/01  09:20:00,6385.1072016528119 
 05/01  09:25:00,6415.045693429456 
 05/01  09:30:00,6441.248494125022 
 05/01  09:35:00,6459.331978796596 
 05/01  09:40:00,6475.4564625065399 
 05/01  09:45:00,6500.397888119165 
 05/01  09:50:00,6497.417218539384 
 05/01  09:55:00,6504.571273628782 
 05/01  10:00:00,6489.3271148066619 
 05/01  10:05:00,6440.483519349577 
 05/01  10:10:00,6272.775595606013 
 05/01  10:15:00,6203.176276582695 
 05/01  10:20:00,6135.895656971787 
 05/01  10:25:00,6085.905257816993 
 05/01  10:30:00,6063.821016900646 
 05/01  10:35:00,6062.415281631749 
 05/01  10:40:00,6052.650116918029 
 05/01  10:45:00,6034.88550327987 
 05/01  10:50:00,6096.38315294869 
 05/01  10:55:00,6146.592726669771 
 05/01  11:00:00,6204.454654555554 
 05/01  11:05:00,6087.716756167481 
 05/01  11:10:00,5973.048731185048 
 05/01  11:15:00,5929.438931772438 
 05/01  11:20:00,5891.702568086632 
