BuildingID,IDF Filepath,Weather Filepath,Completed Simulation FolderPath,Simulation Status
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\IECC\STD_2015\IECC_HotelSmall_STD2015_Seattle.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_WA_Seattle-Tacoma.Intl.AP.727930_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\IECC_2015_Seattle_HotelSmall,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\IECC\STD_2015\IECC_HotelSmall_STD2015_Tampa.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_FL_Tampa-MacDill.AFB.747880_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\IECC_2015_Tampa_HotelSmall,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\IECC\STD_2015\IECC_HotelSmall_STD2015_Tucson.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_AZ_Tucson-Davis-Monthan.AFB.722745_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\IECC_2015_Tucson_HotelSmall,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\IECC\STD_2015\IECC_OfficeLarge_STD2015_Albuquerque.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_NM_Albuquerque.Intl.Sunport.723650_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\IECC_2015_Albuquerque_OfficeLarge,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\IECC\STD_2015\IECC_OfficeLarge_STD2015_Atlanta.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_GA_Atlanta-Hartsfield.Jackson.Intl.AP.722190_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\IECC_2015_Atlanta_OfficeLarge,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\IECC\STD_2015\IECC_OfficeLarge_STD2015_Buffalo.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_NY_Buffalo.Niagara.Intl.AP.725280_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\IECC_2015_Buffalo_OfficeLarge,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\IECC\STD_2015\IECC_OfficeLarge_STD2015_Denver.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_CO_Denver-Aurora-Buckley.AFB.724695_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\IECC_2015_Denver_OfficeLarge,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\IECC\STD_2015\IECC_OfficeLarge_STD2015_ElPaso.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_TX_ElPaso.Intl.AP.722700_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\IECC_2015_ElPaso_OfficeLarge,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\IECC\STD_2015\IECC_OfficeLarge_STD2015_Fairbanks.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_AK_Fairbanks.Intl.AP.702610_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\IECC_2015_Fairbanks_OfficeLarge,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\IECC\STD_2015\IECC_OfficeLarge_STD2015_GreatFalls.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_MT_GreatFalls.Intl.AP.727750_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\IECC_2015_GreatFalls_OfficeLarge,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\IECC\STD_2015\IECC_OfficeLarge_STD2015_Honolulu.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_HI_Honolulu.Intl.AP.911820_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\IECC_2015_Honolulu_OfficeLarge,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\IECC\STD_2015\IECC_OfficeLarge_STD2015_InternationalFalls.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_MN_InternationalFalls.Intl.AP.727470_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\IECC_2015_InternationalFalls_OfficeLarge,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\IECC\STD_2015\IECC_OfficeLarge_STD2015_NewYork.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_NY_NewYork-John.F.Kennedy.Intl.AP.744860_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\IECC_2015_NewYork_OfficeLarge,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\IECC\STD_2015\IECC_OfficeLarge_STD2015_PortAngeles.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_WA_PortAngeles-William.R.Fairchild.Intl.AP.727885_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\IECC_2015_PortAngeles_OfficeLarge,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\IECC\STD_2015\IECC_OfficeLarge_STD2015_Rochester.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_MN_Rochester.Intl.AP.726440_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\IECC_2015_Rochester_OfficeLarge,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\IECC\STD_2015\IECC_OfficeLarge_STD2015_SanDiego.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_CA_SanDiego-Brown.Field.Muni.AP.722904_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\IECC_2015_SanDiego_OfficeLarge,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\IECC\STD_2015\IECC_OfficeLarge_STD2015_Seattle.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_WA_Seattle-Tacoma.Intl.AP.727930_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\IECC_2015_Seattle_OfficeLarge,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\IECC\STD_2015\IECC_OfficeLarge_STD2015_Tampa.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_FL_Tampa-MacDill.AFB.747880_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\IECC_2015_Tampa_OfficeLarge,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\IECC\STD_2015\IECC_OfficeLarge_STD2015_Tucson.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_AZ_Tucson-Davis-Monthan.AFB.722745_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\IECC_2015_Tucson_OfficeLarge,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\IECC\STD_2015\IECC_OfficeMedium_STD2015_Albuquerque.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_NM_Albuquerque.Intl.Sunport.723650_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\IECC_2015_Albuquerque_OfficeMedium,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\IECC\STD_2015\IECC_OfficeMedium_STD2015_Atlanta.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_GA_Atlanta-Hartsfield.Jackson.Intl.AP.722190_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\IECC_2015_Atlanta_OfficeMedium,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\IECC\STD_2015\IECC_OfficeMedium_STD2015_Buffalo.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_NY_Buffalo.Niagara.Intl.AP.725280_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\IECC_2015_Buffalo_OfficeMedium,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\IECC\STD_2015\IECC_OfficeMedium_STD2015_Denver.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_CO_Denver-Aurora-Buckley.AFB.724695_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\IECC_2015_Denver_OfficeMedium,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\IECC\STD_2015\IECC_OfficeMedium_STD2015_ElPaso.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_TX_ElPaso.Intl.AP.722700_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\IECC_2015_ElPaso_OfficeMedium,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\IECC\STD_2015\IECC_OfficeMedium_STD2015_Fairbanks.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_AK_Fairbanks.Intl.AP.702610_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\IECC_2015_Fairbanks_OfficeMedium,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\IECC\STD_2015\IECC_OfficeMedium_STD2015_GreatFalls.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_MT_GreatFalls.Intl.AP.727750_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\IECC_2015_GreatFalls_OfficeMedium,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\IECC\STD_2015\IECC_OfficeMedium_STD2015_Honolulu.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_HI_Honolulu.Intl.AP.911820_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\IECC_2015_Honolulu_OfficeMedium,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\IECC\STD_2015\IECC_OfficeMedium_STD2015_InternationalFalls.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_MN_InternationalFalls.Intl.AP.727470_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\IECC_2015_InternationalFalls_OfficeMedium,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\IECC\STD_2015\IECC_OfficeMedium_STD2015_NewYork.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_NY_NewYork-John.F.Kennedy.Intl.AP.744860_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\IECC_2015_NewYork_OfficeMedium,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\IECC\STD_2015\IECC_OfficeMedium_STD2015_PortAngeles.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_WA_PortAngeles-William.R.Fairchild.Intl.AP.727885_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\IECC_2015_PortAngeles_OfficeMedium,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\IECC\STD_2015\IECC_OfficeMedium_STD2015_Rochester.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_MN_Rochester.Intl.AP.726440_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\IECC_2015_Rochester_OfficeMedium,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\IECC\STD_2015\IECC_OfficeMedium_STD2015_SanDiego.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_CA_SanDiego-Brown.Field.Muni.AP.722904_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\IECC_2015_SanDiego_OfficeMedium,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\IECC\STD_2015\IECC_OfficeMedium_STD2015_Seattle.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_WA_Seattle-Tacoma.Intl.AP.727930_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\IECC_2015_Seattle_OfficeMedium,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\IECC\STD_2015\IECC_OfficeMedium_STD2015_Tampa.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_FL_Tampa-MacDill.AFB.747880_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\IECC_2015_Tampa_OfficeMedium,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\IECC\STD_2015\IECC_OfficeMedium_STD2015_Tucson.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_AZ_Tucson-Davis-Monthan.AFB.722745_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\IECC_2015_Tucson_OfficeMedium,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\IECC\STD_2015\IECC_OfficeSmall_STD2015_Albuquerque.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_NM_Albuquerque.Intl.Sunport.723650_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\IECC_2015_Albuquerque_OfficeSmall,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\IECC\STD_2015\IECC_OfficeSmall_STD2015_Atlanta.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_GA_Atlanta-Hartsfield.Jackson.Intl.AP.722190_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\IECC_2015_Atlanta_OfficeSmall,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\IECC\STD_2015\IECC_OfficeSmall_STD2015_Buffalo.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_NY_Buffalo.Niagara.Intl.AP.725280_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\IECC_2015_Buffalo_OfficeSmall,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\IECC\STD_2015\IECC_OfficeSmall_STD2015_Denver.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_CO_Denver-Aurora-Buckley.AFB.724695_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\IECC_2015_Denver_OfficeSmall,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\IECC\STD_2015\IECC_OfficeSmall_STD2015_ElPaso.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_TX_ElPaso.Intl.AP.722700_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\IECC_2015_ElPaso_OfficeSmall,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\IECC\STD_2015\IECC_OfficeSmall_STD2015_Fairbanks.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_AK_Fairbanks.Intl.AP.702610_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\IECC_2015_Fairbanks_OfficeSmall,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\IECC\STD_2015\IECC_OfficeSmall_STD2015_GreatFalls.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_MT_GreatFalls.Intl.AP.727750_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\IECC_2015_GreatFalls_OfficeSmall,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\IECC\STD_2015\IECC_OfficeSmall_STD2015_Honolulu.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_HI_Honolulu.Intl.AP.911820_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\IECC_2015_Honolulu_OfficeSmall,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\IECC\STD_2015\IECC_OfficeSmall_STD2015_InternationalFalls.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_MN_InternationalFalls.Intl.AP.727470_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\IECC_2015_InternationalFalls_OfficeSmall,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\IECC\STD_2015\IECC_OfficeSmall_STD2015_NewYork.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_NY_NewYork-John.F.Kennedy.Intl.AP.744860_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\IECC_2015_NewYork_OfficeSmall,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\IECC\STD_2015\IECC_OfficeSmall_STD2015_PortAngeles.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_WA_PortAngeles-William.R.Fairchild.Intl.AP.727885_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\IECC_2015_PortAngeles_OfficeSmall,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\IECC\STD_2015\IECC_OfficeSmall_STD2015_Rochester.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_MN_Rochester.Intl.AP.726440_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\IECC_2015_Rochester_OfficeSmall,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\IECC\STD_2015\IECC_OfficeSmall_STD2015_SanDiego.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_CA_SanDiego-Brown.Field.Muni.AP.722904_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\IECC_2015_SanDiego_OfficeSmall,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\IECC\STD_2015\IECC_OfficeSmall_STD2015_Seattle.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_WA_Seattle-Tacoma.Intl.AP.727930_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\IECC_2015_Seattle_OfficeSmall,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\IECC\STD_2015\IECC_OfficeSmall_STD2015_Tampa.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_FL_Tampa-MacDill.AFB.747880_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\IECC_2015_Tampa_OfficeSmall,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\IECC\STD_2015\IECC_OfficeSmall_STD2015_Tucson.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_AZ_Tucson-Davis-Monthan.AFB.722745_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\IECC_2015_Tucson_OfficeSmall,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\IECC\STD_2015\IECC_OutPatientHealthCare_STD2015_Albuquerque.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_NM_Albuquerque.Intl.Sunport.723650_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\IECC_2015_Albuquerque_OutPatientHealthCare,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\IECC\STD_2015\IECC_OutPatientHealthCare_STD2015_Atlanta.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_GA_Atlanta-Hartsfield.Jackson.Intl.AP.722190_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\IECC_2015_Atlanta_OutPatientHealthCare,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\IECC\STD_2015\IECC_OutPatientHealthCare_STD2015_Buffalo.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_NY_Buffalo.Niagara.Intl.AP.725280_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\IECC_2015_Buffalo_OutPatientHealthCare,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\IECC\STD_2015\IECC_OutPatientHealthCare_STD2015_Denver.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_CO_Denver-Aurora-Buckley.AFB.724695_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\IECC_2015_Denver_OutPatientHealthCare,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\IECC\STD_2015\IECC_OutPatientHealthCare_STD2015_ElPaso.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_TX_ElPaso.Intl.AP.722700_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\IECC_2015_ElPaso_OutPatientHealthCare,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\IECC\STD_2015\IECC_OutPatientHealthCare_STD2015_Fairbanks.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_AK_Fairbanks.Intl.AP.702610_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\IECC_2015_Fairbanks_OutPatientHealthCare,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\IECC\STD_2015\IECC_OutPatientHealthCare_STD2015_GreatFalls.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_MT_GreatFalls.Intl.AP.727750_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\IECC_2015_GreatFalls_OutPatientHealthCare,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\IECC\STD_2015\IECC_OutPatientHealthCare_STD2015_Honolulu.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_HI_Honolulu.Intl.AP.911820_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\IECC_2015_Honolulu_OutPatientHealthCare,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\IECC\STD_2015\IECC_OutPatientHealthCare_STD2015_InternationalFalls.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_MN_InternationalFalls.Intl.AP.727470_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\IECC_2015_InternationalFalls_OutPatientHealthCare,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\IECC\STD_2015\IECC_OutPatientHealthCare_STD2015_NewYork.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_NY_NewYork-John.F.Kennedy.Intl.AP.744860_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\IECC_2015_NewYork_OutPatientHealthCare,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\IECC\STD_2015\IECC_OutPatientHealthCare_STD2015_PortAngeles.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_WA_PortAngeles-William.R.Fairchild.Intl.AP.727885_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\IECC_2015_PortAngeles_OutPatientHealthCare,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\IECC\STD_2015\IECC_OutPatientHealthCare_STD2015_Rochester.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_MN_Rochester.Intl.AP.726440_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\IECC_2015_Rochester_OutPatientHealthCare,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\IECC\STD_2015\IECC_OutPatientHealthCare_STD2015_SanDiego.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_CA_SanDiego-Brown.Field.Muni.AP.722904_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\IECC_2015_SanDiego_OutPatientHealthCare,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\IECC\STD_2015\IECC_OutPatientHealthCare_STD2015_Seattle.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_WA_Seattle-Tacoma.Intl.AP.727930_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\IECC_2015_Seattle_OutPatientHealthCare,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\IECC\STD_2015\IECC_OutPatientHealthCare_STD2015_Tampa.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_FL_Tampa-MacDill.AFB.747880_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\IECC_2015_Tampa_OutPatientHealthCare,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\IECC\STD_2015\IECC_OutPatientHealthCare_STD2015_Tucson.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_AZ_Tucson-Davis-Monthan.AFB.722745_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\IECC_2015_Tucson_OutPatientHealthCare,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\IECC\STD_2015\IECC_RestaurantFastFood_STD2015_Albuquerque.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_NM_Albuquerque.Intl.Sunport.723650_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\IECC_2015_Albuquerque_RestaurantFastFood,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\IECC\STD_2015\IECC_RestaurantFastFood_STD2015_Atlanta.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_GA_Atlanta-Hartsfield.Jackson.Intl.AP.722190_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\IECC_2015_Atlanta_RestaurantFastFood,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\IECC\STD_2015\IECC_RestaurantFastFood_STD2015_Buffalo.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_NY_Buffalo.Niagara.Intl.AP.725280_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\IECC_2015_Buffalo_RestaurantFastFood,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\IECC\STD_2015\IECC_RestaurantFastFood_STD2015_Denver.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_CO_Denver-Aurora-Buckley.AFB.724695_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\IECC_2015_Denver_RestaurantFastFood,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\IECC\STD_2015\IECC_RestaurantFastFood_STD2015_ElPaso.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_TX_ElPaso.Intl.AP.722700_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\IECC_2015_ElPaso_RestaurantFastFood,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\IECC\STD_2015\IECC_RestaurantFastFood_STD2015_Fairbanks.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_AK_Fairbanks.Intl.AP.702610_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\IECC_2015_Fairbanks_RestaurantFastFood,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\IECC\STD_2015\IECC_RestaurantFastFood_STD2015_GreatFalls.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_MT_GreatFalls.Intl.AP.727750_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\IECC_2015_GreatFalls_RestaurantFastFood,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\IECC\STD_2015\IECC_RestaurantFastFood_STD2015_Honolulu.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_HI_Honolulu.Intl.AP.911820_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\IECC_2015_Honolulu_RestaurantFastFood,Not Started
